ID,Sentence
31,my expectations for mcdonalds are t rarely high
32,in 2005 the nephew of the original rescuer found the puppets in a family attic and brought them to be appraised on the pbs series antiques roadshow the times said
33,what authority surfeits on would relieve us if they would yield us but the superfluity while it were wholesome we might guess they relieved us humanely but they think we are too dear the leanness that afflicts us the object of our misery is as an inventory to particularise their abundance our sufferance is a gain to them let us revenge this with our pikes ere we become rakes for the gods know i speak this in hunger for bread not in thirst for revenge
34,brutus sir i hope my words disbenchd you not
35,tis not four days gone since i heard thence these are the words i think i have the letter here yes here it is
36,trying to get your 90 days mail away pharmacy prescriptions through this guy is a joke
37,ill be sworn they are true
38,to recap murphys pour house from 19791985
39,citizens no no no man saw em
40,hoffman ma who bought the glove on behalf of ponte 16 resort in macau paid a 25 percent buyers premium which was tacked onto all final sales over 50000
41,he that trusts to you where he should find you lions finds you hares where foxes geese you are no surer no than is the coal of fire upon the ice or hailstone in the sun
42,i saw him run after a gilded butterfly and when he caught it he let it go again and after it again and over and over he comes and again catched it again or whether his fall enraged him or how twas he did so set his teeth and tear it o i warrant it how he mammocked it
43,it was gross
44,sicinius help ye citizens
45,however our waiter jason said he will do his best to get as out on time
46,for that i have not washd my nose that bled or foild some debile wretch which without note heres many else have done you shout me forth in acclamations hyperbolical as if i loved my little should be dieted in praises sauced with lies
47,virgilia i thank your ladyship well good madam
48,i wouldnt want to see you walk in roll your eyes and say reaaaaaalllly
49,aufidius bolder though not so subtle
50,they neer cared for us yet suffer us to famish and their storehouses crammed with grain make edicts for usury to support usurers repeal daily any wholesome act established against the rich and provide more piercing statutes daily to chain up and restrain the poor
51,how youngly he began to serve his country how long continued and what stock he springs of the noble house o the marcians from whence came that ancus marcius numas daughters son who after great hostilius here was king of the same house publius and quintus were that our beat water brought by conduits hither and twice being was his great ancestor
52,i decided to leave because of a review where the staff seemed distracted or disinterested in my presence the office admin very nice called me to inform i am missing my appointment
53,virgilia indeed madam
54,likewise in 2003 when other students believed that the paper showed a liberal bias the conservative paper irish rover went into production
55,virgilia no good madam pardon me indeed i will not forth
56,i only have two bathrooms at my house and wouldve been hard pressed to accommodate several violently ill people at once
57,it is still light out
58,coriolanus no take more what may be sworn by both divine and human seal what i end withal
59,behold these are the tribunes of the people the tongues o the common mouth i do despise them for they do prank them in authority against all noble sufferance
60,first senator call coriolanus
61,luckily i am able to get around to find everything
62,masters o the people we do request your kindest ears and after your loving motion toward the common body to yield what passes here
63,first soldier i shall sir
64,god save your good worships
65,atop the main buildings gold dome is a golden statue of the virgin mary
66,sicinius the custom of request you have discharged the people do admit you and are summond to meet anon upon your approbation
67,doesnt even taste good as american style chinese food
68,as at most other universities notre dames students run a number of news media outlets
69,the staff is friendly the equipment is quite good
70,dont visit this store if you want pleasant or good service
71,sicinius on the sudden i warrant him consul
72,ive worked at more than one location
73,well it all started in may when we had a man named al come out and talk to us about the process
74,worshipful mutiners your valour puts well forth pray follow
75,therefore beseech you i may be consul
76,cominius taket tis yours
77,cominius where is that slave which told me they had beat you to your trenches
78,as for my country i have shed my blood not fearing outward force so shall my lungs coin words till their decay against those measles which we disdain should tatter us yet sought the very way to catch them
79,i shall tell you a pretty tale it may be you have heard it but since it serves my purpose i will venture to stale t a little more
80,so i take the initiative and ask the fine upstanding gentleman what the phone number of the orderer was phone my neighbor and discover the mistake
81,it is a replica of the grotto at lourdes france where the virgin mary reputedly appeared to saint bernadette soubirous in 1858
82,there is aufidius list what work he makes amongst your cloven army
83,meal was very tasty we will definitely go back
84,lartius worthy sir thou bleedst thy exercise hath been too violent for a second course of fight
85,this place is truly a yinzers dream
86,very inexpensive at 10 for a pair of pants to adjust the hem
87,he also requested a copy of a certificate that the man behind the register was unable to produce
88,all the same
89,went for breakfast on 61614
90,cominius twas from the canon
91,at the end of the main drive and in a direct line that connects through 3 statues and the gold dome is a simple modern stone statue of mary
92,at that point my wife picked out a third option ham and cabbage only to be told again that they were out
93,marcius see here these movers that do prize their hours at a crackd drachm
94,first citizen we are accounted poor citizens the patricians good
95,and a side of that basic brown gravy served up in 5 gallon buckets thank goodness for the basic salad bar even my friend admitted that her pork chops were different and not what shed expected
96,the service there was fabulous as was the meal and the drinks creative and exquisite there are new restaurants that have opened in carnegie as of late
97,you being their mouths why rule you not their teeth
98,he then stuck some pink powder up in the extraction area
99,next to the main building is the basilica of the sacred heart
100,have we no wine here
101,immediately in front of the main building and facing it is a copper statue of christ with arms upraised with the legend venite ad me omnes
102,my main issues with them were that things were not communicated to me properly up front nor was the ongoing process communicated to me
103,brutus seize him aediles
104,here are the highlights cheap breakfast for two can be well under 10 with lunch around the same crowded get there early and expect to wait
105,your good voice sir what say you
106,cnn the longestrunning holiday special still has a very shiny nose
107,they look to have a cool bar area with some modern couches and a really sweet look
108,virgilia but had he died in the business madam how then
109,cominius o well beggd
110,brutus cominius no
111,this the courtier accepted as a good omen
112,my husband got a chicken parm sandwich which is served on a yummy flat bread and i got the chicken basil pizza i got an 8 cut and several ppl tried it we all loved it
113,the rabble should have first unroofd the city ere so prevaild with me it will in time win upon power and throw forth greater themes for insurrections arguing
114,when i was a roofing mechanic wed meet there before work
115,they have nice decornice bar and good bread
116,my lettuce was drowning in the vinegar
117,small so you will want to avoid the church crowd on sundays but the wait is never too long
118,first citizen very well and could be content to give him good report fort but that he pays himself with being proud
119,o gods he has the stamp of marcius and i have beforetime seen him thus
120,and the root canals they said i needed my current dentist and my endodontist both agreed that i do not need tooth canals
121,aedile peace peace
122,they charged us 300 for the coleslaw
123,it usually takes 2 hours of repeated calling to get an answer
124,the actual ravioli was okay enough mushrooms
125,grimy looking hole in the wall located on one end of a seedy looking strip mall
126,i never went back thanks to the attitude of the other members
127,i highly recommend
128,barb is always here
129,marcius as with a man busied about decrees condemning some to death and some to exile ransoming him or pitying threatening the other holding corioli in the name of rome even like a fawning greyhound in the leash to let him slip at will
130,the other side o the city is risen why stay we prating here
131,no flavor or seasoning and the texture was reminiscent of spam
132,the main guy comes back the next day and says they did it wrong
133,immediately behind the basilica is the grotto a marian place of prayer and reflection
134,very disappointed in the customer service
135,volumnia look heres a letter from him the state hath another his wife another and i think theres one at home for you
136,not a straight shooter but an excited salesman that wanted to sell and we bought into it he told us they were backed up with the harsh winter and a lot of jobs but they could probably start by june 24th
137,the mixed grill the sausage and egg on a biscuit the home fries
138,atop the main buildings gold dome is a golden statue of the virgin mary
139,cominius stand fast we have as many friends as enemies
140,sir i pray let me hat i have wounds to show you which shall be yours in private
141,now that is some good service
142,menenius what is granted them
143,lartius thou worthiest marcius
144,he will not give refills and could less about patientss financial situations
145,this double worship where one part does disdain with cause the other insult without all reason where gentry title wisdom cannot conclude but by the yea and no of general ignoranceit must omit real necessities and give way the while to unstable slightness purpose so barrd it follows nothing is done to purpose
146,never would she forget the effect on tull and his men when venters shouted lassiters name
147,first soldier see they have shut him in
148,i am half through the one part sufferd the other will i do
149,absolutely awful service
150,i would not recommend them to anyone
151,lartius no ill nor sell nor give him lend you him i will for half a hundred years
152,the women in this class were very nasty to me and told me that i wasnt welcome to stretch out in their class
153,menenius take my cap jupiter and i thank thee
154,after ending up on the island of misfit toys and wandering for a while rudolph goes on to save his loved ones from the abominable snow monster and guides santa through a blizzard that threatens to ruin christmas
155,you deserve better and they will not be there when you really need them
156,volumnia then his good report should have been my son i therein would have found issue
157,before i finally made it over to this range i heard the same thing from most people its just fine to go work on your swing
158,it was so bad that i only ate 14 of it and tossed the rest
159,where go you with bats and clubs
160,where did everyone go
161,big mistake
162,neat thing is that the grill is right in front of you so you can see your potatoes and eggs frying in a pool of fresh grease
163,does that make you a little worried
164,with other muniments and petty helps in this our fabric if that they menenius what then
165,menenius hes a bear indeed that lives like a lamb
166,have you ever been to some big cities in the world
167,i asked for hot tea they said 10 minutes
168,its not that hard to keep me updated it is 2014 with a million ways to be contacted even though i have a nice deck after i clean things up myself
169,herald know rome that all alone marcius did fight within corioli gates where he hath won with fame a name to caius marcius these in honour follows coriolanus
170,aufidius is it not yours
171,cheap unpretentious and for this one of my favorite breakfast joints in the country
172,after waiting for almost 30 minutes to trade in an old phone part of the buy back program our customer service rep incorrectly processed the transaction
173,sicinius twere well we let the people knowt
174,my boyfriend got the fish sandwich he enjoyed it as well
175,marcius go get you home you fragments
176,now thats fresh we want to return sometime for turkey day apparently they made fresh turkey every tuesday
177,atop the main buildings gold dome is a golden statue of the virgin mary
178,immediately behind the basilica is the grotto a marian place of prayer and reflection
179,they said they were anhungry sighd forth proverbs that hunger broke stone walls that dogs must eat that meat was made for mouths that the gods sent not corn for the rich men only with these shreds they vented their complainings which being answerd and a petition granted them a strange one to break the heart of generosity and make bold power look palethey threw their caps as they would hang them on the horns o the moon shouting their emulation
180,no one can beat it
181,the legacy that jackson left behind is bigger than life for me orange said
182,it wasnt great but they swore it was because theyd run out of the bread
183,the host advised us it is a 90 minute service
184,diner food is whats up and i like it
185,menenius a hundred thousand welcomes
186,brutus in that theres comfort
187,virgilia the gods grant them true
188,the rooms contain a nice kitchenette area with a full sized refrigerator sink cabinets and two burners
189,found my puppy treats and moved on
190,i ordered some mix of eggs bacon and pancakes and got 2 dinnersized plates one loaded with pancakes and the other stuffed with eggs bacon and home fries
191,a riders love of a thoroughbred shone in them
192,volumnia he had before this last expedition twentyfive wounds upon him
193,sicinius doubt not the commoners for whom we stand but they upon their ancient malice will forget with the least cause these his new honours which that he will give them make i as little question as he is proud to dot
194,menenius do not cry havoc where you should but hunt with modest warrant
195,third citizen we have been called so of many not that our heads are some brown some black some auburn some bald but that our wits are so diversely coloured and truly i think if all our wits were to issue out of one skull they would fly east west north south and their consent of one direct way should be at once to all the points o the compass
196,coriolanus ill give my reasons more worthier than their voices
197,sorrycant wait that long to get a warranted repair they lost my business for good
198,coriolanus what makes this change
199,our waiter looked like a 19 year old gas station attendant skinny little blonde guy with a sweet but incredibly naive face and an air of vapidity which was confirmed when i placed my order
200,volumnia honourable menenius my boy marcius approaches for the love of juno lets go
201,gentlewoman madam the lady valeria is come to visit you
202,second citizen not one amongst us save yourself but says he used us scornfully he should have showd us his marks of merit wounds received fors country
203,to a cruel war i sent him from whence he returned his brows bound with oak
204,this is the kind of neighborhood dive that i could see frank and dino pulling a few tables together for some poker a fish sammich and some cheap scotch
205,we had salads and pasta
206,this may have been the best fish sandwich ive yet to have in da burgh
207,cominius you shall not be the grave of your deserving rome must know the value of her own twere a concealment worse than a theft no less than a traducement to hide your doings and to silence that which to the spire and top of praises vouchd would seem but modest therefore i beseech you in sign of what you are not to reward what you have donebefore our army hear me
208,truly
209,but the best thing they have is their wings
210,i understand things happen and things get delayed but just email or call me
211,i will never go back to flynns bc of the way this guy treated me and the simple fact that they gave me a used tire
212,why had your bodies no heart among you
213,at one hour and 45 minutes complained to the manager that we still had not received out entrees
214,finally i called back and the admin told me that the survey could take a couple weeks to come back
215,volumnia hell beat aufidius head below his knee and tread upon his neck
216,come on my fellows he that retires ill take him for a volsce and he shall feel mine edge
217,second citizen and will deny him ill have five hundred voices of that sound
218,ahhhh da burgh third base
219,fifth citizen we hope to find you our friend and therefore give you our voices heartily
220,papa js is no longer the only game in town
221,as i said before ive been to papa js a good handful of times so i know the menu decently well but the server couldnt explain any of the questions i had about a couple new dishes i was thinking about trying
222,i mean to stride your steed and at all times to undercrest your good addition to the fairness of my power
223,after arguing with the guy and telling him that his logic was far fetched he said hed give me a new tire this time
224,upon my party ild revolt to make only my wars with him he is a lion that i am proud to hunt
225,sicinius we are convented upon a pleasing treaty and have hearts inclinable to honour and advance the theme of our assembly
226,the italian had deli meat that was clearly bottom of the line and not very generous
227,sixth citizen he has done nobly and cannot go without any honest mans voice
228,i had one tooth that i had a recent root canal on and a few small cavities that needed filled
229,both my adult children and husband have decided to leave this practice after experiencing such frustration
230,messenger the citizens of corioli have issued and given to lartius and to marcius battle i saw our party to their trenches driven and then i came away
231,coriolanus well then i pray your price o the consulship
232,were he the butcher of my son he should be free as is the wind
233,fare you well then
234,its with regret that i feel that i have to give dr goldberg 2 stars
235,nay keep your place
236,first citizen he shall well know the noble tribunes are the peoples mouths and we their hands
237,third citizen we do sir tell us what hath brought you tot
238,paddys pour house from 20022012
239,i have never felt compelled to write a bad review about anyone until i met this pathetic excuse for a doctor who is all about the money
240,i was in so much pain for 2 weeks following the extraction
241,coriolanus i do owe them still my life and services
242,bread or not it still wasnt great
243,if you want average food and terrible service this is your place
244,this it the very definition of diner
245,what barm can your bisson conspectuities glean out of this character if i be known well enough too
246,as the lunch hour went on they were getting busy emils is no frills good portions very reasonable prices very comfortable neighborhood hole in the wallkind of like cheers but in a blue collar neighborhood in the 1950s
247,or i shall shake thy bones out of thy garments
248,o good but most unwise patricians
249,second citizen why that way
250,papa js is by far my favorite restaurant in pittsburgh my hometown
251,advance brave titus they do disdain us much beyond our thoughts which makes me sweat with wrath
252,valeria not out of doors
253,in 2006 the new york times reported that fans drove for miles to see the rudolph and santa claus puppets at the center for puppetry arts in atlanta
254,cominius though thou speakst truth methinks thou speakst not well
255,sicinius this as you say suggested at some time when his soaring insolence shall touch the peoplewhich time shall not want if he be put upon t and thats as easy as to set dogs on sheepwill be his fire to kindle their dry stubble and their blaze shall darken him for ever
256,visitors like to go to the film studios and to drive along hollywood street
257,could he not speak em fair
258,the fish sandwich is good and is a large portion sides are decent
259,ok its friday night and have about 70 minutes to eat
260,third citizen hes not confirmd we may deny him yet
261,after the so called dentist dr carnavali did my exam i needed 3 additional root canals and an extraction
262,only a handful of volumes survive from this period though some are very significant
263,aufidius we hate alike not afric owns a serpent i abhor more than thy fame and envy
264,cominius our spoils he kickd at and lookd upon things precious as they were the common muck of the world he covets less than misery itself would give rewards his deeds with doing them and is content to spend the time to end it
265,brutus which the rather we shall be blest to do if he remember a kinder value of the people than he hath hereto prized them at
266,terrible serviceterrible foodthis place smells like rotten wet wood
267,whats the matter that in these several places of the city you cry against the noble senate who under the gods keep you in awe which else would feed on one another
268,map shown on yelp page is incorrect
269,whats the matter you dissentious rogues that rubbing the poor itch of your opinion make yourselves scabs
270,menenius he loves your people but tie him not to be their bedfellow
271,have you chose this man
272,marcius will the time serve to tell
273,virgilia his bloody brow
274,appalling
275,second citizen you are never without your tricks you may you may
276,we finally got our survey
277,virgilia no at a word madam indeed i must not
278,this little unassuming building with an addon entrance with what looked like a very old hand painted sign stating quite simply emils
279,all in all wed like to go back again but we want jasmine
280,always packed here and always a wait but worth it
281,now that sounds good cant wait to return
282,third citizen to lose itself in a fog where being three parts melted away with rotten dews the fourth would return for conscience sake to help to get thee a wife
283,this kind of service did not deserve corn gratis
284,ugh
285,jackson wore the glove at a 1983 performance during motown 25 an nbc special where he debuted his revolutionary moonwalk
286,came here with no expectations
287,but thats no matter the greater part carries it
288,prices are about middle of the road for an authentic italian place nothing crazy
289,first citizen should by the cormorant belly be restraind who is the sink o the body menenius well what then
290,im writing this review to give you a heads up before you see this doctor
291,atop the main buildings gold dome is a golden statue of the virgin mary
292,coriolanus know good mother i had rather be their servant in my way than sway with them in theirs
293,they do unnecessary extractions so they can do a more expensive procedure such as a bridge or an implant
294,hear me profess sincerely had i a dozen sons each in my love alike and none less dear than thine and my good marcius i had rather had eleven die nobly for their country than one voluptuously surfeit out of action
295,his hearts his mouth what his breast forges that his tongue must vent and being angry does forget that ever he heard the name of death
296,obviously this is the way a simple complaint is handled by management
297,cominius that is the way to lay the city flat to bring the roof to the foundation and bury all which yet distinctly ranges in heaps and piles of ruin
298,by the elements if eer again i meet him beard to beard hes mine or i am his mine emulation hath not that honour int it had for where i thought to crush him in an equal force true sword to sword ill potch at him some way or wrath or craft may get him
299,seems simple finally we get the permit and work is supposed to start
300,coriolanus no ill die here
301,coriolanus you are like to do such business
302,the vatican library is a research library for history law philosophy science and theology
303,sicinius you show too much of that for which the people stir if you will pass to where you are bound you must inquire your way which you are out of with a gentler spirit or never be so noble as a consul nor yoke with him for tribune
304,when you finally do get inside you see that there are 15 tables and a counter all occupied by people from all walks of life whats the attraction behind this flea hole
305,the highly prized memorabilia which included items spanning the many stages of jacksons career came from more than 30 fans associates and family members who contacted juliens auctions to sell their gifts and mementos of the singer
306,next to the main building is the basilica of the sacred heart
307,you were got in fear though you were born in rome his bloody brow with his maild hand then wiping forth he goes like to a harvestman thats taskd to mow or all or lose his hire
308,the guys in the pro shop were two of the friendlier guys ive come across at ranges or at courses
309,who sensibly outdares his senseless sword and when it bows stands up
310,begun as a onepage journal in september 1876 the scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the united states
311,third roman a murrain ont
312,sicinius such a nature tickled with good success disdains the shadow which he treads on at noon but i do wonder his insolence can brook to be commanded under cominius
313,senators c well surety him
314,very very oily
315,you herd ofboils and plagues plaster you oer that you may be abhorrd further than seen and one infect another against the wind a mile
316,first senator our armys in the field we never yet made doubt but rome was ready to answer us
317,first citizen if i must not i need not be barren of accusations he hath faults with surplus to tire in repetition
318,my husbands salmon was burnt to a crisp and my sister in law took one bite of her trout and refused to eat any more because she claims it was so disgusting
319,if he have power then vail your ignorance if none awake your dangerous lenity
320,also we were asked if we wanted pine nuts feta or gorgonzola on our salad and then were charged 200 extra per item in addition to the salad price 699 which brought the salad up to 1099
321,created for about 5000 each in 1964 they were valued at 8000 to 10000 for the pair
322,i had to force myself in front of a cashier who opened his register to wait on the person behind me
323,this place is equipped with lights yet they only sell buckets of balls until 730
324,the office staff and administration are very unprofessional
325,i have done as you have done thats what i can induced as you have been thats for my country he that has but effected his good will hath overtaen mine act
326,good luck getting a seat thats all i have to say
327,virgilia i will wish her speedy strength and visit her with my prayers but i cannot go thither
328,first officer come come they are almost here
329,no chicken pot pie no shepherds pie etc
330,their prices have gone way up400 for 4 midlevel tires for a toyota
331,menenius come enough
332,do yourself a favor and frequent any of the other restaurants that are within walking distance of papa js
333,brutus good or bad
334,the french toast was made with the best italian bread
335,the kinglycrowned head the vigilant eye the counsellor heart the arm our soldier our steed the leg the tongue our trumpeter
336,he was not screaming or belligerent in any way shape or form simply informing the manager of what had occurred
337,coriolanus have you informd them sithence
338,senators to coriolanus come all joy and honour
339,menenius and twas time for him too ill warrant him that an he had stayed by him i would not have been so fidiused for all the chests in corioli and the gold thats in them
340,the tables the decorations the menu
341,when jerd led out this slender beautifully built horse lassiter suddenly became all eyes
342,two meals on the recommendation of a friend who lives near the place and after the second trip i was compelled to write
343,third citizen we have power in ourselves to do it but it is a power that we have no power to do for if he show us his wounds and tell us his deeds we are to put our tongues into those wounds and speak for them so if he tell us his noble deeds we must also tell him our noble acceptance of them
344,it is the best white pizza i have ever had
345,but as we sat and ate burgers came out to an adjoining table
346,lartius now the fair goddess fortune fall deep in love with thee and her great charms misguide thy opposers swords
347,likewise in 2003 when other students believed that the paper showed a liberal bias the conservative paper irish rover went into production
348,i reckon so he had replied
349,coriolanus may i change these garments
350,menenius the senators of rome are this good belly and you the mutinous members for examine their counsels and their cares digest things rightly touching the weal o the common you shall find no public benefit which you receive but it proceeds or comes from them to you and no way from yourselves
351,in a few minutes we had our wine then in a few more seconds we had our salads and some great homemade italian bread with some olive oil and balsamic ving
352,menenius be calm be calm
353,menenius this is strange
354,the nine studentrun outlets include three newspapers both a radio and television station and several magazines and journals
355,lartius he had my lord and that it was which caused our swifter composition
356,my guess is that the entire place needs no strike that demands an automated foodbeverage ticketing system
357,second citizen one word good citizens
358,and hark what noise the general makes
359,every procedure she has done to my teeth has backfired
360,im glad i did too
361,it literally took him two trips back to the kitchen to ask and the child honestly had no clue what white meat and dark meat meant
362,say we read lectures to you
363,immediately behind the basilica is the grotto a marian place of prayer and reflection
364,went to papa js awhile ago and the service was bad the waiter was surly rude and unhelpful decided to try it again since it is close to stage 62
365,hell you need even less people now with the advent of the machine that doles out the balls
366,menenius hes right noble let him be calld for
367,lets talk about the hours
368,cominius well on to the marketplace
369,what should the people do with these bald tribunes
370,menenius fie fie fie
371,my wife asked for a glass of water 4 times until she finally got it at which point the meal was over so we didnt care at that point
372,although im not sure i would recommend it if youre working were theres no bathrooms
373,he was wont to come home wounded
374,i also like the seasoned salt wings
375,after arguing with me he ended up taking 6 off of our 200 bill
376,in her fear she so controlled her mind that she did not whisper this mormons name to her own soul she did not even think it
377,menenius youll mar all ill leave you pray you speak to em i pray you in wholesome manner
378,a patrician this man has marrd his fortune
379,first citizen your bellys answer
380,nothing is served on the side with main dishes
381,sicinius it shall be to him then as our good wills a sure destruction
382,bad food slow service and rude managers
383,go to papa js every once in a while but mostly for the white pizza
384,the one affrights you the other makes you proud
385,food was luke warm at best
386,theres in all two worthy voices begged
387,coriolanus that ill straight do and knowing myself again repair to the senatehouse
388,menenius why tis no great matter for a very little thief of occasion will rob you of a great deal of patience give your dispositions the reins and be angry at your pleasures at the least if you take it as a pleasure to you in being so
389,my husband and i went to emmert dental in bethel park for a routine cleaning and check up
390,as for the rest of the place its always been kind of dirty inside
391,marcius ill fight with none but thee for i do hate thee worse than a promisebreaker
392,all citizens amen amen
393,cant wait to experience it
394,coming here you get the feeling they havent changed much
395,you must in no way say he is covetous
396,so good food great looking place one bad waitress
397,none of the cooks bartenders or waitresses know who ordered what nor what ticket belongs to which table
398,the iced tea is also terrible tasting
399,in 1987 when some students believed that the observer began to show a conservative bias a liberal newspaper common sense was published
400,architecturally the school has a catholic character
401,architecturally the school has a catholic character
402,marcius thy friend no less than those she placeth highest
403,great little place
404,cominius but how prevaild you
405,i arrived at 850
406,citizens he shall sure ont
407,rocky would definitely describe the experiences on the first trip i went to try their at that timeraved about reuben
408,he is not a caring doctor
409,virgilia beseech you give me leave to retire myself
410,coriolanus are these your herd
411,just call me and tell me theyre waiting for the permit but theyll work towards asking dormont what the hold up is
412,the manager started yelling at the cashiers for serving off their orders when they didnt have their food
413,coriolanus have i had childrens voices
414,their wings are simply fantastic
415,brutus aediles seize him
416,so there are resentful tire slashers
417,how shall this bisson multitude digest the senates courtesy
418,the family sold both figures to kevin a kriess the president of timeandspacetoyscom and a lifelong fan of the rankinbass films
419,the fettuccine carbanara was very good a thick cream sauce with bacon and ricotta
420,menenius now the gods crown thee
421,i have ordered from here in the past and always been disappointed
422,you two are old men tell me one thing that i shall ask you
423,menenius there was a time when all the bodys members rebelld against the belly thus accused it that only like a gulf it did remain i the midst o the body idle and unactive still cupboarding the viand never bearing like labour with the rest where the other instruments did see and hear devise instruct walk feel and mutually participate did minister unto the appetite and affection common of the whole body
424,he told me he would bug the guy about it and we finally got it
425,the dome yearbook is published annually
426,so i hung up not knowing what was going on
427,i am not sure that i could find it again on my ownit really is a hidden gem
428,the whole wings are good size and crispy but for 1 a wing the sauce could be better
429,ive stayed at a couple of extended stay sites that i found quite satisfactory and this location proved to be just as good
430,this place will give you the best fish sandwich in pittsburgh
431,and the service was pretty absent to make it even worse seemed she knew it was terrible and didnt want to deal with it
432,this is true on mine honour and so i pray go with us
433,i had 3 employees surrounding me pressuring me for this bone graft
434,coriolanus i had rather have one scratch my head i the sun when the alarum were struck than idly sit to hear my nothings monsterd
435,food was not good at all
436,there is the man of my souls hate aufidius piercing our romans then valiant titus take convenient numbers to make good the city whilst i with those that have the spirit will haste to help cominius
437,all will be naught else
438,she took extra time with the older ladies in our group to help them with their selections now the other waitress mary something was so incompetent she was awful and rude
439,i wish al would have told us that so our june 24th date came and went
440,a pound of fish on a fishshaped bun as opposed to da burghs seemingly popular hamburger bun
441,this paltering becomes not rome nor has coriolanus deserved this so dishonourd rub laid falsely i the plain way of his merit
442,i love the food and the service
443,citizens yield marcius yield
444,brutus not unlike each way to better yours
445,in and out in 60 minutes
446,her arm was broken or smth but she still dis a great job strawberry lemonade was just smth i have been craving for for so long but did not know what it was strawberry milkshake nachos and t bone steak is smth we never stop ordering its always nice when u go late at night like us it is not crowded not noisy nice music playing and always nice people around
447,a big red flag to me was the extra charge 3 to hit off the grass
448,then when it was time to sing and cut the cake my sister in law said oh hey can you get the cake so we can sing
449,citizens down with him
450,first citizen hes one honest enough would all the rest were so
451,i seriously crave a true good ny reuben but since i cant afford to travel right now what i find in da burgh will have to do
452,sicinius to the capitol come we will be there before the stream o the people and this shall seem as partly tis their own which we have goaded onward
453,the biggest breakfast in pittsburgh as far as i can tell and delicious and cheap too
454,i would definitely stay at this location again and highly recommend it
455,the service is terrible the staff seem to be generally clueless the management is inclined to blame the staff for their own mistakes and theres no sense of fast in their fast food
456,and now again of him that did not ask but mock bestow your suedfor tongues
457,you know the cause air of my standing here
458,both were on the verge of inedible
459,and go along with us
460,thus it is the volsces have an army forth against whom cominius the general is gone with one part of our roman power your lord and titus lartius are set down before their city corioli they nothing doubt prevailing and to make it brief wars
461,menenius the augurer tells me we shall have news tonight
462,im assuming this was the bone graft
463,as at most other universities notre dames students run a number of news media outlets
464,the food was fantastic was very food and just the right price
465,jacksons flashy glove was the bigticket item of the night fetching 420000 from a buyer in hong kong china
466,brutus the people are incensed against him
467,we were mad
468,we need more irish pubs and local old time watering holes
469,the inspector looked at me like i was crazy for waiting on my food despite the obvious poor conditions
470,valeria my ladies both good day to you
471,when drums and trumpets shall i the field prove flatterers let courts and cities be made all of falsefaced soothing
472,the only thing i would say is to increase some of the cardio equipment
473,when steel grows soft as the parasites silk let him be made a coverture for the wars
474,first citizen and to make us no better thought of a little help will serve for once we stood up about the corn he himself stuck not to call us the manyheaded multitude
475,fourth citizen you have received many wounds for your country
476,first citizen you are all resolved rather to die than to famish
477,sicinius there coriolanus
478,yards were indeed marked and there are some targets to aim for and even some hazards to aim away from
479,with a single glass of wine i felt downright robbed at the 50 price tag
480,on the outside there are about a dozen people waiting to get in
481,she wanted him to take charge of her cattle and horse and ranges and save them if that were possible
482,most unprofessional gym ever
483,all come come
484,sicinius it is a mind that shall remain a poison where it is not poison any further
485,just to start off we were a party of 12 which is always a little difficult
